Education_Sector,Entity_Type,School_No,School_Name,School_Type,School_Status,DE_Admin_Region,LGA_Name,DE_Admin_AREA,Prep Total,Year 1 Total,Year 2 Total,Year 3 Total,Year 4 Total,Year 5 Total,Year 6 Total,Primary Ungraded Total,Primary Total,Year 7 Total,Year 8 Total,Year 9 Total,Year 10 Total,Year 11 Total,Year 12 Total,Secondary Ungraded Total,Secondary Total,Grand Total,Year,CENSUS_TYPE
Catholic,2,1260,St Joseph's School,Primary,O,SOUTH-EASTERN VICTORIA,Mornington Peninsula (S),Bayside Peninsula,24.0,19.0,27.0,31.0,27.0,29.0,38.0,0.0,195.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195.0,2024,F
Catholic,2,1265,St Fidelis' School,Primary,O,NORTH-WESTERN VICTORIA,Merri-bek (C),Hume Merri-bek,49.0,43.0,20.0,30.0,19.0,34.0,25.0,0.0,220.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.0,2024,F
Catholic,2,1272,St Francis Xavier's School,Primary,O,NORTH-EASTERN VICTORIA,Whitehorse (C),Inner Eastern Melbourne,24.0,44.0,44.0,44.0,36.0,31.0,55.0,0.0,278.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,278.0,2024,F
Catholic,2,1273,St Mary's School,Primary,O,SOUTH-WESTERN VICTORIA,Hobsons Bay (C),Western Melbourne,46.0,38.0,44.0,40.0,33.0,34.0,40.0,0.0,275.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,275.0,2024,F
Catholic,2,1275,Our Lady Help of Christians School,Primary,O,NORTH-WESTERN VICTORIA,Nillumbik (S),North Eastern Melbourne,8.0,12.0,17.0,18.0,15.0,18.0,16.2,0.0,104.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.2,2024,F
Catholic,2,1277,Our Lady of the Sacred Heart School,Primary,O,NORTH-WESTERN VICTORIA,Mildura (RC),Mallee,20.0,23.0,25.0,17.0,25.0,18.0,24.0,0.0,152.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,152.0,2024,F
Catholic,2,1280,St Francis Xavier School,Primary,O,SOUTH-EASTERN VICTORIA,Frankston (C),Bayside Peninsula,19.0,25.0,25.0,29.0,18.0,28.0,22.0,0.0,166.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.0,2024,F
Catholic,2,1287,Our Lady of Sion College,Secondary,O,NORTH-EASTERN VICTORIA,Whitehorse (C),Inner Eastern Melbourne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.0,161.0,156.0,152.0,145.0,160.0,0.0,918.0,918.0,2024,F
Catholic,2,1289,St Gabriel's School,Primary,O,NORTH-WESTERN VICTORIA,Darebin (C),North Eastern Melbourne,38.0,10.0,21.0,15.0,11.0,16.0,15.0,0.0,126.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,126.0,2024,F
Catholic,2,1291,St Paul's School,Primary,O,SOUTH-EASTERN VICTORIA,Glen Eira (C),Bayside Peninsula,49.0,52.0,50.0,48.0,50.0,48.0,51.0,0.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,348.0,2024,F
